EmployeeNumber,Age,Attrition,Department,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,TrainingTimesLastYear,Gender,OverTime,PerformanceRating,JobInvolvement,JobLevel,JobRole
438,31,No,Sales,7,7,1,7,13,3,Male,No,3,3,2,Sales Executive
439,32,No,Research & Development,7,7,0,7,10,0,Female,No,3,4,2,Research Scientist
440,28,Yes,Research & Development,3,2,2,2,5,4,Male,Yes,3,1,1,Research Scientist
441,30,No,Research & Development,10,8,1,9,11,2,Female,No,3,3,2,Research Scientist
442,31,No,Research & Development,10,9,8,9,10,2,Female,No,4,2,3,Manufacturing Director
444,39,No,Research & Development,21,9,13,3,21,2,Male,No,3,2,5,Manager
445,39,Yes,Sales,1,0,0,0,12,3,Female,Yes,3,3,2,Sales Executive
446,33,No,Sales,7,7,0,1,9,6,Male,No,3,2,2,Sales Executive
447,47,No,Research & Development,3,2,1,1,21,2,Male,No,3,3,5,Research Director
448,43,No,Research & Development,9,7,0,0,9,3,Female,No,3,2,2,Laboratory Technician
449,27,No,Sales,5,4,1,4,6,0,Male,Yes,3,3,2,Sales Executive
450,54,No,Research & Development,4,3,0,3,20,4,Female,No,3,3,2,Research Scientist
451,43,No,Research & Development,1,0,0,0,10,1,Female,No,3,3,3,Healthcare Representative
452,45,No,Research & Development,10,9,9,8,12,3,Male,No,3,3,2,Research Scientist
453,40,No,Sales,4,3,0,2,6,2,Male,Yes,4,1,2,Sales Executive
454,29,Yes,Research & Development,7,7,0,7,7,4,Male,Yes,3,1,1,Laboratory Technician
455,29,No,Research & Development,3,2,2,2,4,2,Male,No,3,2,1,Laboratory Technician
456,30,No,Sales,10,9,1,2,10,2,Female,No,3,2,2,Sales Executive
458,27,No,Sales,8,7,0,7,8,3,Female,No,3,3,2,Sales Executive
460,37,No,Research & Development,6,2,0,4,8,2,Male,No,3,3,2,Manufacturing Director
461,38,No,Research & Development,11,10,2,9,12,3,Male,Yes,3,2,3,Research Director
462,31,No,Research & Development,11,9,4,10,11,2,Female,Yes,3,3,3,Manufacturing Director
463,29,No,Sales,7,7,1,7,7,2,Female,Yes,3,2,2,Sales Executive
464,35,No,Research & Development,16,6,0,13,17,5,Male,No,3,3,3,Manufacturing Director
465,23,No,Research & Development,4,2,0,2,4,2,Male,No,3,3,1,Research Scientist
466,41,No,Research & Development,5,4,1,2,8,3,Male,Yes,3,2,2,Manufacturing Director
467,47,No,Sales,0,0,0,0,5,3,Male,No,3,3,2,Sales Representative
468,42,No,Research & Development,1,0,0,0,16,2,Female,No,3,3,4,Research Director
469,29,No,Sales,4,3,0,2,4,3,Male,No,3,3,2,Sales Executive
470,42,No,Human Resources,3,2,1,0,4,5,Male,Yes,3,3,1,Human Resources
471,32,No,Research & Development,8,0,0,7,8,4,Female,No,3,3,1,Laboratory Technician
473,48,No,Sales,0,0,0,0,15,3,Female,No,4,3,3,Manager
474,37,No,Research & Development,7,7,6,7,13,2,Male,Yes,3,4,2,Research Scientist
475,30,No,Sales,2,2,2,2,4,2,Female,Yes,3,3,2,Sales Executive
476,26,No,Sales,8,7,7,7,8,3,Male,No,3,3,2,Sales Executive
477,42,No,Research & Development,1,0,0,0,14,6,Male,No,4,2,2,Healthcare Representative
478,21,Yes,Sales,3,2,1,2,3,3,Female,Yes,3,2,1,Sales Representative
479,36,No,Sales,1,0,0,0,7,6,Female,No,3,3,2,Sales Executive
481,36,No,Sales,13,9,1,12,16,2,Male,No,3,2,3,Sales Executive
482,57,No,Research & Development,3,2,1,2,15,2,Male,No,3,3,2,Healthcare Representative
483,40,No,Research & Development,7,7,1,7,10,3,Female,Yes,3,4,1,Laboratory Technician
484,21,No,Sales,3,2,2,2,3,3,Male,No,4,3,1,Sales Representative
485,33,Yes,Sales,1,0,0,0,1,2,Female,Yes,3,3,1,Sales Representative
486,37,No,Research & Development,5,4,0,3,17,3,Female,No,4,3,1,Laboratory Technician
487,46,No,Research & Development,1,0,0,0,7,2,Female,No,3,3,2,Manufacturing Director
488,41,Yes,Sales,8,7,7,7,8,5,Male,No,3,3,2,Sales Executive
491,50,No,Research & Development,4,3,1,3,20,2,Male,No,3,2,3,Healthcare Representative
492,40,Yes,Sales,6,4,1,0,8,6,Male,Yes,3,2,2,Sales Executive
493,31,No,Research & Development,2,2,2,2,3,5,Male,Yes,3,2,1,Research Scientist
494,21,Yes,Sales,1,0,0,0,1,0,Female,No,3,4,1,Sales Representative
495,29,No,Research & Development,3,2,1,2,6,4,Male,No,3,3,1,Research Scientist
496,35,No,Research & Development,1,1,0,0,10,5,Male,No,3,2,2,Healthcare Representative
497,27,No,Research & Development,5,2,0,4,5,2,Male,No,3,3,1,Laboratory Technician
498,28,No,Sales,7,5,0,7,7,1,Male,No,3,3,2,Sales Executive
499,49,No,Research & Development,5,2,0,0,26,2,Male,No,4,2,3,Healthcare Representative
500,51,No,Sales,7,7,0,7,18,2,Female,No,3,3,2,Sales Executive
501,36,No,Research & Development,2,2,2,2,6,3,Female,No,3,3,1,Research Scientist
502,34,Yes,Sales,5,2,0,4,9,3,Male,Yes,3,4,2,Sales Executive
505,55,No,Research & Development,5,4,1,2,30,2,Female,Yes,3,3,4,Manager
507,24,No,Sales,5,2,0,3,5,2,Female,Yes,3,3,2,Sales Executive
508,30,No,Sales,1,0,0,0,1,3,Male,No,3,3,1,Sales Representative
510,26,Yes,Research & Development,6,4,0,4,7,2,Male,No,4,3,1,Research Scientist
511,22,No,Research & Development,2,1,1,2,2,1,Female,No,3,3,1,Research Scientist
513,36,No,Sales,10,9,9,0,10,2,Male,No,3,2,3,Sales Executive
514,30,Yes,Research & Development,1,0,0,0,3,4,Male,Yes,4,3,1,Research Scientist
515,37,No,Research & Development,18,7,12,17,18,2,Female,No,3,3,1,Laboratory Technician
516,40,No,Sales,5,4,1,3,8,5,Female,No,3,3,2,Sales Executive
517,42,No,Research & Development,5,2,1,2,8,5,Female,No,3,3,1,Laboratory Technician
518,37,No,Research & Development,1,0,0,1,18,2,Male,Yes,3,3,2,Manufacturing Director
520,43,No,Research & Development,25,10,3,9,25,3,Male,No,3,2,4,Research Director
521,40,No,Research & Development,1,0,0,0,20,3,Female,No,4,2,2,Laboratory Technician
522,54,No,Research & Development,4,2,1,2,24,4,Male,No,3,3,5,Research Director
523,34,No,Sales,3,2,1,2,6,3,Female,No,3,3,2,Sales Executive
524,31,No,Research & Development,13,10,3,12,13,5,Female,No,3,3,2,Manufacturing Director
525,43,No,Research & Development,3,2,1,2,8,1,Male,No,4,3,1,Laboratory Technician
526,43,No,Research & Development,5,2,0,2,8,3,Female,Yes,3,3,2,Healthcare Representative
527,25,No,Sales,5,4,1,3,5,3,Female,Yes,3,2,2,Sales Executive
529,37,No,Research & Development,13,11,10,7,15,2,Female,Yes,3,3,2,Research Scientist
530,31,No,Research & Development,4,2,3,2,4,3,Male,No,3,2,1,Laboratory Technician
531,39,No,Research & Development,21,8,1,6,21,3,Male,Yes,3,3,5,Manager
532,56,No,Sales,7,7,7,7,36,0,Female,No,3,4,4,Sales Executive
533,30,No,Sales,5,4,4,4,6,6,Female,No,3,3,2,Sales Executive
534,41,No,Sales,10,7,0,7,10,2,Male,No,3,4,3,Sales Executive
536,28,No,Research & Development,10,0,1,8,10,2,Male,No,3,3,2,Laboratory Technician
538,25,Yes,Research & Development,2,2,0,2,6,5,Male,No,3,3,1,Laboratory Technician
543,52,No,Research & Development,5,4,0,4,28,4,Male,Yes,3,2,3,Manufacturing Director
544,45,No,Research & Development,2,2,0,2,8,3,Male,No,4,3,1,Research Scientist
546,52,No,Research & Development,5,2,1,4,31,2,Female,No,3,3,4,Manager
547,42,No,Research & Development,5,4,0,2,19,3,Female,No,3,3,2,Research Scientist
548,30,No,Research & Development,5,4,0,2,11,2,Female,No,4,1,2,Manufacturing Director
549,60,No,Research & Development,29,8,11,10,33,5,Female,No,3,3,5,Manager
550,46,No,Research & Development,10,7,0,8,19,5,Female,No,3,3,2,Manufacturing Director
551,42,No,Research & Development,6,5,0,4,7,4,Female,No,3,2,2,Healthcare Representative
554,24,Yes,Sales,5,3,1,4,6,4,Female,Yes,3,3,1,Sales Representative
555,34,Yes,Sales,2,2,1,0,3,3,Female,No,3,1,1,Sales Representative
556,38,No,Research & Development,1,0,0,0,1,3,Male,Yes,4,3,1,Laboratory Technician
558,40,No,Sales,20,15,1,12,21,2,Female,No,3,3,5,Manager
560,26,No,Research & Development,3,2,0,2,3,3,Female,No,4,3,1,Research Scientist
562,30,No,Research & Development,5,3,1,4,9,3,Male,No,3,3,1,Laboratory Technician
564,29,No,Research & Development,10,2,0,7,10,2,Male,No,3,2,3,Research Director
565,29,Yes,Research & Development,2,2,1,1,6,2,Female,No,3,2,1,Research Scientist
566,19,Yes,Human Resources,1,0,0,0,1,3,Male,No,3,2,1,Human Resources
567,30,No,Sales,9,8,7,8,10,3,Female,No,3,3,3,Sales Executive
568,57,No,Sales,1,0,0,0,32,3,Male,No,3,2,4,Manager
569,50,No,Research & Development,27,10,15,7,28,2,Male,No,3,2,4,Manager
571,30,No,Research & Development,11,7,6,7,12,2,Female,No,3,3,1,Laboratory Technician
573,60,No,Sales,18,13,13,11,22,5,Female,No,3,2,3,Sales Executive
574,47,No,Research & Development,5,0,0,4,20,2,Female,No,3,3,2,Manufacturing Director
575,46,No,Research & Development,3,2,0,1,26,2,Male,No,3,3,4,Research Director
577,35,No,Research & Development,5,4,4,3,6,2,Male,No,3,1,1,Laboratory Technician
578,54,No,Research & Development,1,0,0,0,19,3,Female,No,3,3,2,Laboratory Technician
579,34,No,Research & Development,7,3,5,7,14,3,Male,No,3,2,1,Research Scientist
580,46,No,Sales,3,2,1,2,15,3,Female,Yes,3,2,3,Sales Executive
581,31,No,Research & Development,13,8,0,8,13,6,Male,No,4,3,3,Manufacturing Director
582,33,Yes,Research & Development,7,6,7,7,15,2,Male,Yes,3,3,3,Manager
584,33,Yes,Research & Development,4,3,1,3,8,2,Male,No,3,1,1,Laboratory Technician
585,30,No,Sales,3,2,1,2,4,3,Male,No,3,3,1,Sales Representative
586,35,No,Research & Development,8,7,0,0,10,2,Male,Yes,3,3,3,Healthcare Representative
587,31,Yes,Research & Development,1,0,0,0,12,2,Male,No,3,3,3,Healthcare Representative
590,34,Yes,Human Resources,3,2,0,2,11,2,Female,Yes,3,3,3,Human Resources
591,42,No,Research & Development,2,2,2,0,8,4,Male,No,3,3,1,Laboratory Technician
592,36,No,Sales,10,3,9,7,10,3,Male,No,3,3,3,Sales Executive
593,22,Yes,Research & Development,2,2,1,2,4,3,Male,No,3,2,1,Laboratory Technician
595,48,No,Sales,9,7,6,7,14,2,Female,No,3,3,2,Sales Executive
597,55,No,Sales,10,9,7,7,37,2,Female,No,4,3,4,Manager
599,41,No,Sales,14,3,1,10,16,3,Male,No,3,3,2,Sales Executive
600,35,No,Sales,11,9,6,9,15,2,Male,No,3,3,2,Sales Executive
601,40,No,Research & Development,20,6,5,13,22,3,Female,No,3,3,4,Manufacturing Director
602,39,No,Research & Development,8,3,0,7,8,3,Female,No,3,3,1,Laboratory Technician
604,31,No,Sales,6,5,0,5,10,2,Male,Yes,3,3,2,Sales Executive
605,42,No,Research & Development,10,9,5,8,10,5,Male,Yes,4,3,3,Manufacturing Director
606,45,No,Sales,8,7,3,7,9,3,Male,No,3,3,2,Sales Executive
608,26,Yes,Human Resources,7,7,1,0,8,2,Female,Yes,3,3,1,Human Resources
611,29,No,Research & Development,3,2,1,2,8,2,Male,No,3,3,2,Manufacturing Director
612,33,No,Research & Development,6,1,0,5,10,2,Female,No,3,4,4,Research Director
613,31,No,Sales,5,4,0,1,10,3,Male,No,4,2,3,Manager
614,18,Yes,Sales,0,0,0,0,0,3,Male,Yes,3,3,1,Sales Representative
615,40,No,Sales,1,0,0,1,20,2,Male,No,3,1,3,Sales Executive
616,41,No,Research & Development,8,7,0,7,10,3,Female,Yes,3,2,2,Healthcare Representative
618,26,No,Sales,0,0,0,0,8,5,Male,No,3,3,2,Sales Executive
620,35,No,Sales,5,4,0,3,5,3,Female,No,3,3,2,Sales Executive
621,34,No,Sales,10,7,5,7,10,3,Male,No,3,4,2,Sales Executive
622,26,Yes,Research & Development,1,0,0,0,1,3,Male,Yes,3,1,1,Laboratory Technician
623,37,No,Research & Development,6,5,1,2,12,3,Female,No,3,3,3,Manufacturing Director
624,46,No,Research & Development,2,2,1,2,28,3,Female,No,3,3,3,Healthcare Representative
625,41,No,Sales,18,16,11,8,22,2,Female,No,3,3,4,Manager
626,37,No,Sales,9,5,7,7,9,6,Male,No,3,3,3,Sales Executive
630,52,No,Research & Development,10,9,6,9,18,3,Male,Yes,3,3,2,Research Scientist
631,32,Yes,Sales,4,2,1,2,6,2,Male,No,3,4,2,Sales Executive
632,24,No,Sales,2,2,2,1,3,3,Male,No,3,3,1,Sales Representative
634,38,No,Research & Development,1,0,0,0,18,4,Female,No,3,3,2,Healthcare Representative
635,37,No,Research & Development,6,5,4,3,8,2,Female,No,3,3,2,Manufacturing Director
638,49,No,Research & Development,31,9,0,9,31,5,Male,Yes,3,2,5,Research Director
639,24,No,Research & Development,6,5,1,4,6,3,Male,Yes,3,4,1,Research Scientist
641,26,No,Sales,5,3,1,4,6,5,Male,No,4,3,2,Sales Executive
643,24,No,Research & Development,1,0,0,0,1,2,Male,No,4,2,1,Laboratory Technician
644,50,No,Human Resources,32,5,10,7,32,2,Male,No,3,3,5,Manager
645,25,No,Sales,7,4,0,6,7,1,Male,No,3,3,1,Sales Representative
647,24,Yes,Research & Development,6,3,1,2,6,4,Female,Yes,3,3,1,Laboratory Technician
648,30,Yes,Sales,1,0,0,0,1,2,Male,No,3,2,1,Sales Representative
649,34,No,Research & Development,6,5,1,3,6,3,Male,Yes,3,2,1,Research Scientist
650,31,Yes,Sales,3,1,1,2,9,2,Male,No,3,3,2,Sales Executive
652,35,No,Research & Development,3,2,0,2,9,3,Male,No,3,2,2,Laboratory Technician
653,31,No,Sales,7,7,5,7,13,4,Male,No,4,4,2,Sales Executive
655,27,No,Research & Development,5,3,0,3,6,5,Female,No,3,2,1,Research Scientist
656,37,No,Sales,3,0,1,0,17,3,Male,Yes,3,3,2,Sales Executive
657,20,No,Research & Development,1,0,0,0,1,0,Female,No,3,2,1,Research Scientist
659,42,No,Research & Development,10,2,2,2,10,4,Female,No,3,3,2,Healthcare Representative
661,43,No,Research & Development,1,0,0,0,21,3,Male,Yes,3,2,4,Research Director
662,38,No,Research & Development,0,0,0,0,8,3,Female,No,3,3,1,Research Scientist
663,43,No,Research & Development,8,7,4,7,10,3,Male,Yes,3,3,2,Laboratory Technician
664,48,No,Research & Development,3,2,0,2,21,3,Female,No,3,2,4,Manager
665,44,No,Human Resources,2,2,0,2,10,1,Female,No,3,2,2,Human Resources
666,34,No,Sales,8,2,0,6,8,3,Female,Yes,3,3,1,Sales Representative
667,27,Yes,Sales,4,3,0,2,5,3,Male,No,3,3,1,Sales Representative
669,21,No,Sales,3,2,1,2,3,2,Male,No,3,3,1,Sales Representative
671,44,No,Research & Development,2,2,0,1,26,2,Male,Yes,3,3,5,Manager
675,22,No,Research & Development,2,2,2,2,3,3,Male,No,4,3,1,Research Scientist
677,33,No,Sales,5,0,1,2,6,3,Male,No,3,3,2,Sales Executive
679,32,No,Research & Development,6,4,0,5,6,2,Female,Yes,3,3,2,Research Scientist
680,30,No,Research & Development,1,0,0,0,1,2,Female,No,4,3,1,Research Scientist
682,53,No,Sales,14,7,8,10,18,2,Female,No,4,3,2,Sales Executive
683,34,No,Research & Development,10,9,8,8,10,4,Male,No,3,3,1,Research Scientist
684,45,Yes,Sales,1,1,0,0,5,4,Female,No,3,3,2,Sales Executive
686,26,No,Research & Development,3,2,0,2,3,2,Female,Yes,3,3,1,Laboratory Technician
689,37,No,Research & Development,10,7,7,8,10,2,Male,No,3,3,3,Manufacturing Director
690,29,No,Sales,6,0,1,2,6,5,Female,No,3,3,2,Sales Executive
691,35,No,Research & Development,17,11,11,8,17,3,Male,No,3,1,2,Research Scientist
692,33,No,Research & Development,13,11,4,7,15,2,Male,No,4,3,2,Healthcare Representative
698,54,No,Human Resources,9,7,7,1,16,1,Male,No,3,3,3,Human Resources
699,36,No,Research & Development,3,2,0,2,13,2,Male,Yes,3,2,2,Manufacturing Director
700,27,No,Research & Development,4,2,1,1,5,0,Male,No,3,2,1,Research Scientist
701,20,Yes,Research & Development,1,0,1,1,1,5,Male,Yes,3,3,1,Research Scientist
702,33,Yes,Research & Development,10,8,9,7,10,3,Male,Yes,3,3,1,Research Scientist
704,35,No,Research & Development,1,0,0,0,1,3,Male,No,3,2,1,Laboratory Technician
705,23,No,Research & Development,3,2,0,2,5,3,Male,No,3,4,1,Research Scientist
707,25,No,Sales,3,2,1,2,4,4,Male,No,4,4,2,Sales Executive
709,38,No,Sales,7,7,0,5,8,2,Female,No,4,2,2,Sales Executive
710,29,No,Research & Development,10,7,2,8,10,5,Male,No,3,1,1,Research Scientist
712,48,No,Sales,2,2,2,2,12,3,Male,No,3,4,2,Sales Executive
714,27,No,Sales,6,5,0,4,6,3,Female,Yes,4,4,2,Sales Executive
715,37,No,Research & Development,1,0,0,0,4,2,Male,No,3,4,1,Research Scientist
716,50,No,Research & Development,20,8,3,8,20,3,Male,Yes,3,4,1,Laboratory Technician
717,34,No,Research & Development,8,7,7,7,9,3,Female,No,3,2,3,Healthcare Representative
720,24,Yes,Sales,2,2,2,0,4,3,Female,No,3,3,2,Sales Executive
721,39,No,Research & Development,20,7,11,10,20,4,Female,No,3,2,2,Healthcare Representative
722,32,No,Sales,10,7,0,8,10,2,Male,No,3,3,2,Sales Executive
723,50,Yes,Sales,4,3,1,3,18,4,Male,Yes,3,3,2,Sales Executive
724,38,No,Research & Development,9,7,1,8,10,4,Female,No,3,4,2,Healthcare Representative
725,27,No,Research & Development,9,7,0,7,9,3,Female,No,3,3,3,Manufacturing Director
727,32,No,Research & Development,7,7,7,7,10,6,Female,No,3,3,3,Research Director
728,47,No,Sales,7,7,1,7,20,2,Male,No,3,3,2,Sales Executive
729,40,No,Sales,18,13,1,12,20,2,Male,Yes,4,2,3,Sales Executive
730,53,No,Research & Development,5,1,1,3,32,3,Male,No,3,4,4,Research Director
731,41,No,Human Resources,21,6,12,6,23,2,Male,No,3,2,5,Manager
732,60,No,Sales,2,2,2,2,10,1,Male,No,3,3,2,Sales Executive
733,27,No,Research & Development,9,7,1,7,9,4,Male,No,4,3,3,Manufacturing Director
734,41,No,Human Resources,22,7,2,10,22,3,Male,No,3,2,5,Manager
738,50,No,Sales,2,2,2,2,4,2,Male,No,3,3,1,Sales Representative
741,28,Yes,Research & Development,7,7,3,7,10,4,Female,Yes,3,1,1,Research Scientist
742,36,No,Research & Development,8,7,0,5,10,2,Female,No,3,4,3,Research Director
743,38,No,Research & Development,1,0,0,0,10,4,Female,Yes,3,3,3,Manufacturing Director
744,44,No,Research & Development,5,2,1,4,9,5,Male,No,3,1,1,Laboratory Technician
746,47,No,Sales,22,2,11,13,28,2,Female,Yes,3,3,4,Sales Executive
747,30,No,Sales,8,7,7,7,10,2,Male,No,4,3,2,Sales Executive
749,29,No,Sales,1,0,0,0,1,6,Male,No,3,3,1,Sales Representative
752,42,Yes,Research & Development,2,2,2,2,7,2,Male,Yes,3,4,1,Research Scientist
754,43,No,Sales,2,2,2,2,7,5,Male,No,3,2,2,Sales Executive
757,34,No,Research & Development,5,1,4,3,10,2,Female,No,3,3,2,Healthcare Representative
758,23,No,Research & Development,4,3,0,2,5,2,Male,No,3,3,1,Laboratory Technician
760,39,No,Human Resources,8,3,3,6,12,3,Female,No,3,4,2,Human Resources
762,56,No,Research & Development,10,7,1,1,30,1,Male,No,3,3,4,Healthcare Representative
763,40,No,Research & Development,4,2,2,3,5,2,Female,Yes,4,2,1,Research Scientist
764,27,No,Research & Development,7,6,0,7,9,2,Female,No,3,2,2,Healthcare Representative
766,29,No,Sales,2,2,2,2,2,2,Male,No,3,3,1,Sales Representative
769,53,No,Research & Development,2,2,2,2,19,4,Male,No,3,3,2,Laboratory Technician
771,35,No,Research & Development,1,0,0,0,16,2,Female,No,3,3,2,Healthcare Representative
772,32,No,Research & Development,10,8,4,7,10,2,Male,No,3,3,2,Laboratory Technician
773,38,No,Research & Development,1,0,0,1,6,0,Male,Yes,3,3,1,Research Scientist
775,34,No,Research & Development,0,0,0,0,7,3,Female,No,3,3,2,Manufacturing Director
776,52,No,Sales,34,6,1,16,34,3,Male,No,3,2,4,Manager
780,33,Yes,Research & Development,10,9,7,8,10,2,Male,Yes,3,3,1,Research Scientist
781,25,No,Sales,6,5,1,4,6,5,Female,No,4,3,2,Sales Executive
783,45,No,Sales,8,7,3,1,9,3,Male,No,3,1,2,Sales Representative
784,23,No,Research & Development,2,2,0,2,2,3,Male,No,3,4,1,Research Scientist
785,47,Yes,Sales,5,4,1,3,8,2,Female,Yes,3,4,2,Sales Executive
786,34,No,Sales,6,5,1,4,6,5,Male,No,4,3,2,Sales Executive
787,55,Yes,Research & Development,5,2,1,4,24,2,Male,Yes,3,3,5,Manager
789,36,No,Sales,10,7,0,9,10,1,Male,No,3,2,3,Sales Executive
791,52,No,Research & Development,4,3,1,2,5,3,Male,No,3,3,1,Research Scientist
792,26,No,Research & Development,2,2,2,0,5,2,Female,No,3,1,1,Laboratory Technician
793,29,No,Research & Development,8,7,1,1,11,3,Female,No,3,3,2,Healthcare Representative
796,26,Yes,Sales,4,3,1,2,6,2,Male,No,3,2,2,Sales Executive
797,34,No,Research & Development,4,2,1,3,10,2,Female,No,3,4,1,Research Scientist
799,54,No,Research & Development,5,3,1,4,9,4,Female,Yes,3,3,2,Manufacturing Director
800,27,No,Sales,4,2,1,1,5,3,Male,No,3,3,2,Sales Executive
802,37,No,Research & Development,5,3,4,3,6,3,Female,Yes,3,3,1,Research Scientist
803,38,No,Research & Development,15,7,4,12,17,2,Female,Yes,3,4,2,Manufacturing Director
804,34,No,Research & Development,6,5,1,3,6,3,Female,No,3,2,1,Research Scientist
805,35,No,Sales,3,2,0,2,3,1,Female,No,3,3,1,Sales Representative
806,30,No,Research & Development,2,2,0,2,7,2,Male,No,4,1,1,Laboratory Technician
807,40,No,Research & Development,8,7,3,7,8,2,Female,No,4,4,2,Healthcare Representative
808,34,No,Sales,3,2,1,2,6,1,Female,No,3,3,2,Sales Executive
809,42,No,Research & Development,24,7,14,9,24,4,Male,No,3,3,5,Manager
811,23,Yes,Research & Development,0,0,0,0,1,2,Male,Yes,4,4,1,Laboratory Technician
812,24,No,Research & Development,1,0,0,0,1,4,Male,No,3,2,1,Laboratory Technician
813,52,No,Research & Development,5,2,1,4,9,3,Female,No,4,3,2,Laboratory Technician
815,50,No,Research & Development,4,3,0,3,30,3,Male,No,3,3,4,Research Director
816,29,Yes,Research & Development,1,0,0,0,1,1,Female,Yes,3,2,1,Laboratory Technician
817,33,No,Research & Development,13,9,3,7,14,3,Male,No,3,3,3,Research Director
819,33,Yes,Sales,3,2,0,2,6,3,Female,No,3,3,2,Sales Executive
820,47,No,Research & Development,26,14,3,0,26,3,Female,Yes,3,3,4,Manager
823,36,No,Research & Development,9,7,0,5,10,2,Female,No,3,3,2,Manufacturing Director
824,29,No,Research & Development,10,7,0,7,10,3,Male,No,4,4,1,Research Scientist
825,58,Yes,Research & Development,31,15,13,8,40,2,Male,Yes,3,3,5,Research Director
826,35,No,Research & Development,2,2,2,2,7,0,Female,No,3,4,1,Research Scientist
827,42,No,Research & Development,4,3,0,2,8,4,Female,Yes,3,2,2,Manufacturing Director
828,28,Yes,Research & Development,2,2,2,1,5,3,Male,No,3,3,1,Research Scientist
829,36,No,Human Resources,5,2,0,4,8,2,Male,No,3,3,1,Human Resources
830,32,No,Research & Development,14,13,6,8,14,3,Female,No,3,2,2,Manufacturing Director
832,40,No,Research & Development,1,0,0,0,10,6,Male,No,3,2,2,Laboratory Technician
833,30,No,Research & Development,0,0,0,0,12,4,Female,Yes,4,2,2,Manufacturing Director
834,45,No,Research & Development,1,0,0,0,1,3,Female,No,3,2,1,Research Scientist
836,42,No,Research & Development,9,8,7,8,10,3,Male,No,3,3,2,Manufacturing Director
837,38,No,Research & Development,4,3,1,2,13,3,Male,No,3,2,2,Healthcare Representative
838,34,No,Research & Development,5,2,1,3,6,3,Female,No,3,2,1,Research Scientist
840,49,Yes,Sales,9,8,7,7,9,3,Female,No,3,3,3,Sales Executive
842,55,Yes,Sales,9,7,7,3,12,3,Male,No,3,3,2,Sales Executive
843,43,No,Research & Development,4,1,1,0,22,3,Male,No,4,3,4,Research Director
844,27,No,Research & Development,9,8,0,8,9,3,Male,Yes,3,2,3,Research Director
845,35,No,Research & Development,8,5,1,6,17,3,Male,No,4,3,3,Manufacturing Director
846,28,No,Sales,8,7,7,5,8,2,Female,Yes,4,3,2,Sales Executive
847,34,No,Human Resources,3,2,0,2,4,1,Male,No,3,3,1,Human Resources
848,26,Yes,Research & Development,8,7,1,7,8,2,Female,Yes,3,2,1,Research Scientist
850,27,No,Research & Development,0,0,0,0,0,6,Male,No,3,3,1,Research Scientist
851,51,No,Sales,20,6,4,17,29,2,Female,No,3,3,4,Manager
852,44,No,Research & Development,5,2,2,3,10,2,Male,No,3,3,2,Healthcare Representative
854,25,No,Research & Development,4,3,0,1,6,3,Male,No,3,4,1,Research Scientist
855,33,No,Sales,9,8,0,8,9,5,Male,No,4,4,2,Sales Executive
856,35,No,Research & Development,6,5,1,1,6,3,Female,No,3,2,1,Research Scientist
857,36,No,Sales,18,14,4,11,18,1,Male,Yes,3,3,2,Sales Executive
859,32,No,Sales,5,2,0,3,8,3,Male,No,3,3,2,Sales Executive
861,30,No,Research & Development,5,4,0,3,10,3,Male,No,3,2,1,Research Scientist
862,53,No,Sales,5,2,0,4,35,3,Female,Yes,3,2,3,Sales Executive
864,45,No,Sales,5,4,0,2,18,2,Male,Yes,3,3,3,Sales Executive
865,32,No,Research & Development,5,3,1,3,9,3,Female,No,3,4,2,Research Scientist
867,52,No,Research & Development,9,8,0,0,31,3,Female,No,4,2,4,Manufacturing Director
868,37,No,Sales,1,0,0,0,9,2,Male,No,3,2,2,Sales Executive
869,28,No,Human Resources,5,1,0,4,6,6,Male,No,3,2,1,Human Resources
872,22,No,Research & Development,2,2,2,2,4,2,Male,No,4,2,2,Manufacturing Director
874,44,No,Research & Development,3,2,0,2,10,2,Male,Yes,4,4,1,Laboratory Technician
875,42,No,Research & Development,2,1,2,2,8,2,Male,Yes,3,3,1,Research Scientist
878,36,No,Human Resources,5,4,0,3,6,3,Male,No,4,2,1,Human Resources
879,25,No,Sales,5,3,0,3,5,3,Male,Yes,3,3,2,Sales Executive
880,35,No,Research & Development,17,14,5,15,17,2,Female,Yes,4,2,3,Manufacturing Director
881,35,Yes,Research & Development,10,2,7,8,10,3,Female,Yes,3,3,1,Research Scientist
882,32,No,Research & Development,3,0,0,2,4,2,Male,No,3,3,1,Laboratory Technician
885,25,No,Sales,5,2,0,3,5,1,Male,No,3,2,2,Sales Executive
887,49,No,Research & Development,4,2,0,2,7,2,Female,No,3,3,1,Research Scientist
888,24,No,Research & Development,5,2,3,4,6,2,Male,No,3,2,1,Laboratory Technician
889,32,No,Sales,10,8,5,3,10,3,Male,No,3,3,2,Sales Executive
893,38,No,Sales,2,2,1,2,3,3,Male,No,3,2,1,Sales Representative
894,42,No,Research & Development,5,3,1,3,17,1,Female,Yes,3,4,2,Laboratory Technician
895,31,No,Research & Development,6,4,0,2,8,2,Male,Yes,3,3,1,Research Scientist
896,29,Yes,Sales,3,2,0,2,5,3,Female,Yes,3,2,1,Sales Representative
897,53,No,Sales,2,0,2,2,28,3,Male,No,3,3,4,Sales Executive
