,EmployeeNumber,Age,Attrition,Department,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,TrainingTimesLastYear,Gender,OverTime,PerformanceRating,JobInvolvement,JobLevel,JobRole
307,421,38,No,Research & Development,10,8,0,1,19,2,Female,No,3,2,3,Research Director
308,422,58,No,Research & Development,5,3,1,2,12,2,Male,Yes,3,1,2,Healthcare Representative
309,423,31,No,Research & Development,5,2,0,3,6,4,Male,Yes,3,3,1,Research Scientist
310,424,31,No,Human Resources,2,2,1,0,9,1,Male,No,3,2,2,Human Resources
311,425,45,No,Research & Development,24,9,9,11,24,2,Male,No,3,3,3,Laboratory Technician
312,426,31,No,Research & Development,2,2,2,2,3,2,Male,Yes,3,3,1,Research Scientist
313,428,33,No,Research & Development,10,6,8,8,12,2,Female,No,3,3,3,Manager
314,429,39,No,Research & Development,21,9,11,10,21,3,Male,Yes,3,3,4,Manager
315,430,43,No,Research & Development,8,7,1,7,9,5,Female,No,3,3,1,Laboratory Technician
316,431,49,No,Research & Development,7,1,0,7,25,2,Female,Yes,3,2,4,Healthcare Representative
317,433,52,Yes,Research & Development,8,2,7,7,11,3,Male,No,3,2,2,Research Scientist
318,434,27,No,Research & Development,4,3,1,2,4,2,Female,Yes,3,3,1,Research Scientist
319,436,32,No,Sales,13,12,11,9,13,2,Female,Yes,3,2,2,Sales Executive
320,437,27,No,Sales,5,4,0,4,5,3,Male,Yes,3,3,2,Sales Executive
321,438,31,No,Sales,7,7,1,7,13,3,Male,No,3,3,2,Sales Executive
322,439,32,No,Research & Development,7,7,0,7,10,0,Female,No,3,4,2,Research Scientist
323,440,28,Yes,Research & Development,3,2,2,2,5,4,Male,Yes,3,1,1,Research Scientist
324,441,30,No,Research & Development,10,8,1,9,11,2,Female,No,3,3,2,Research Scientist
325,442,31,No,Research & Development,10,9,8,9,10,2,Female,No,4,2,3,Manufacturing Director
326,444,39,No,Research & Development,21,9,13,3,21,2,Male,No,3,2,5,Manager
327,445,39,Yes,Sales,1,0,0,0,12,3,Female,Yes,3,3,2,Sales Executive
328,446,33,No,Sales,7,7,0,1,9,6,Male,No,3,2,2,Sales Executive
329,447,47,No,Research & Development,3,2,1,1,21,2,Male,No,3,3,5,Research Director
330,448,43,No,Research & Development,9,7,0,0,9,3,Female,No,3,2,2,Laboratory Technician
331,449,27,No,Sales,5,4,1,4,6,0,Male,Yes,3,3,2,Sales Executive
332,450,54,No,Research & Development,4,3,0,3,20,4,Female,No,3,3,2,Research Scientist
333,451,43,No,Research & Development,1,0,0,0,10,1,Female,No,3,3,3,Healthcare Representative
334,452,45,No,Research & Development,10,9,9,8,12,3,Male,No,3,3,2,Research Scientist
335,453,40,No,Sales,4,3,0,2,6,2,Male,Yes,4,1,2,Sales Executive
336,454,29,Yes,Research & Development,7,7,0,7,7,4,Male,Yes,3,1,1,Laboratory Technician
337,455,29,No,Research & Development,3,2,2,2,4,2,Male,No,3,2,1,Laboratory Technician
338,456,30,No,Sales,10,9,1,2,10,2,Female,No,3,2,2,Sales Executive
339,458,27,No,Sales,8,7,0,7,8,3,Female,No,3,3,2,Sales Executive
340,460,37,No,Research & Development,6,2,0,4,8,2,Male,No,3,3,2,Manufacturing Director
341,461,38,No,Research & Development,11,10,2,9,12,3,Male,Yes,3,2,3,Research Director
342,462,31,No,Research & Development,11,9,4,10,11,2,Female,Yes,3,3,3,Manufacturing Director
343,463,29,No,Sales,7,7,1,7,7,2,Female,Yes,3,2,2,Sales Executive
344,464,35,No,Research & Development,16,6,0,13,17,5,Male,No,3,3,3,Manufacturing Director
345,465,23,No,Research & Development,4,2,0,2,4,2,Male,No,3,3,1,Research Scientist
346,466,41,No,Research & Development,5,4,1,2,8,3,Male,Yes,3,2,2,Manufacturing Director
347,467,47,No,Sales,0,0,0,0,5,3,Male,No,3,3,2,Sales Representative
348,468,42,No,Research & Development,1,0,0,0,16,2,Female,No,3,3,4,Research Director
349,469,29,No,Sales,4,3,0,2,4,3,Male,No,3,3,2,Sales Executive
350,470,42,No,Human Resources,3,2,1,0,4,5,Male,Yes,3,3,1,Human Resources
351,471,32,No,Research & Development,8,0,0,7,8,4,Female,No,3,3,1,Laboratory Technician
352,473,48,No,Sales,0,0,0,0,15,3,Female,No,4,3,3,Manager
353,474,37,No,Research & Development,7,7,6,7,13,2,Male,Yes,3,4,2,Research Scientist
354,475,30,No,Sales,2,2,2,2,4,2,Female,Yes,3,3,2,Sales Executive
355,476,26,No,Sales,8,7,7,7,8,3,Male,No,3,3,2,Sales Executive
356,477,42,No,Research & Development,1,0,0,0,14,6,Male,No,4,2,2,Healthcare Representative
357,478,21,Yes,Sales,3,2,1,2,3,3,Female,Yes,3,2,1,Sales Representative
358,479,36,No,Sales,1,0,0,0,7,6,Female,No,3,3,2,Sales Executive
359,481,36,No,Sales,13,9,1,12,16,2,Male,No,3,2,3,Sales Executive
360,482,57,No,Research & Development,3,2,1,2,15,2,Male,No,3,3,2,Healthcare Representative
361,483,40,No,Research & Development,7,7,1,7,10,3,Female,Yes,3,4,1,Laboratory Technician
362,484,21,No,Sales,3,2,2,2,3,3,Male,No,4,3,1,Sales Representative
363,485,33,Yes,Sales,1,0,0,0,1,2,Female,Yes,3,3,1,Sales Representative
364,486,37,No,Research & Development,5,4,0,3,17,3,Female,No,4,3,1,Laboratory Technician
365,487,46,No,Research & Development,1,0,0,0,7,2,Female,No,3,3,2,Manufacturing Director
366,488,41,Yes,Sales,8,7,7,7,8,5,Male,No,3,3,2,Sales Executive
367,491,50,No,Research & Development,4,3,1,3,20,2,Male,No,3,2,3,Healthcare Representative
368,492,40,Yes,Sales,6,4,1,0,8,6,Male,Yes,3,2,2,Sales Executive
369,493,31,No,Research & Development,2,2,2,2,3,5,Male,Yes,3,2,1,Research Scientist
370,494,21,Yes,Sales,1,0,0,0,1,0,Female,No,3,4,1,Sales Representative
371,495,29,No,Research & Development,3,2,1,2,6,4,Male,No,3,3,1,Research Scientist
372,496,35,No,Research & Development,1,1,0,0,10,5,Male,No,3,2,2,Healthcare Representative
373,497,27,No,Research & Development,5,2,0,4,5,2,Male,No,3,3,1,Laboratory Technician
374,498,28,No,Sales,7,5,0,7,7,1,Male,No,3,3,2,Sales Executive
375,499,49,No,Research & Development,5,2,0,0,26,2,Male,No,4,2,3,Healthcare Representative
376,500,51,No,Sales,7,7,0,7,18,2,Female,No,3,3,2,Sales Executive
377,501,36,No,Research & Development,2,2,2,2,6,3,Female,No,3,3,1,Research Scientist
378,502,34,Yes,Sales,5,2,0,4,9,3,Male,Yes,3,4,2,Sales Executive
379,505,55,No,Research & Development,5,4,1,2,30,2,Female,Yes,3,3,4,Manager
380,507,24,No,Sales,5,2,0,3,5,2,Female,Yes,3,3,2,Sales Executive
381,508,30,No,Sales,1,0,0,0,1,3,Male,No,3,3,1,Sales Representative
382,510,26,Yes,Research & Development,6,4,0,4,7,2,Male,No,4,3,1,Research Scientist
383,511,22,No,Research & Development,2,1,1,2,2,1,Female,No,3,3,1,Research Scientist
384,513,36,No,Sales,10,9,9,0,10,2,Male,No,3,2,3,Sales Executive
385,514,30,Yes,Research & Development,1,0,0,0,3,4,Male,Yes,4,3,1,Research Scientist
386,515,37,No,Research & Development,18,7,12,17,18,2,Female,No,3,3,1,Laboratory Technician
387,516,40,No,Sales,5,4,1,3,8,5,Female,No,3,3,2,Sales Executive
388,517,42,No,Research & Development,5,2,1,2,8,5,Female,No,3,3,1,Laboratory Technician
389,518,37,No,Research & Development,1,0,0,1,18,2,Male,Yes,3,3,2,Manufacturing Director
390,520,43,No,Research & Development,25,10,3,9,25,3,Male,No,3,2,4,Research Director
391,521,40,No,Research & Development,1,0,0,0,20,3,Female,No,4,2,2,Laboratory Technician
392,522,54,No,Research & Development,4,2,1,2,24,4,Male,No,3,3,5,Research Director
393,523,34,No,Sales,3,2,1,2,6,3,Female,No,3,3,2,Sales Executive
394,524,31,No,Research & Development,13,10,3,12,13,5,Female,No,3,3,2,Manufacturing Director
395,525,43,No,Research & Development,3,2,1,2,8,1,Male,No,4,3,1,Laboratory Technician
396,526,43,No,Research & Development,5,2,0,2,8,3,Female,Yes,3,3,2,Healthcare Representative
397,527,25,No,Sales,5,4,1,3,5,3,Female,Yes,3,2,2,Sales Executive
398,529,37,No,Research & Development,13,11,10,7,15,2,Female,Yes,3,3,2,Research Scientist
399,530,31,No,Research & Development,4,2,3,2,4,3,Male,No,3,2,1,Laboratory Technician
400,531,39,No,Research & Development,21,8,1,6,21,3,Male,Yes,3,3,5,Manager
401,532,56,No,Sales,7,7,7,7,36,0,Female,No,3,4,4,Sales Executive
402,533,30,No,Sales,5,4,4,4,6,6,Female,No,3,3,2,Sales Executive
403,534,41,No,Sales,10,7,0,7,10,2,Male,No,3,4,3,Sales Executive
404,536,28,No,Research & Development,10,0,1,8,10,2,Male,No,3,3,2,Laboratory Technician
405,538,25,Yes,Research & Development,2,2,0,2,6,5,Male,No,3,3,1,Laboratory Technician
406,543,52,No,Research & Development,5,4,0,4,28,4,Male,Yes,3,2,3,Manufacturing Director
407,544,45,No,Research & Development,2,2,0,2,8,3,Male,No,4,3,1,Research Scientist
408,546,52,No,Research & Development,5,2,1,4,31,2,Female,No,3,3,4,Manager
409,547,42,No,Research & Development,5,4,0,2,19,3,Female,No,3,3,2,Research Scientist
410,548,30,No,Research & Development,5,4,0,2,11,2,Female,No,4,1,2,Manufacturing Director
411,549,60,No,Research & Development,29,8,11,10,33,5,Female,No,3,3,5,Manager
412,550,46,No,Research & Development,10,7,0,8,19,5,Female,No,3,3,2,Manufacturing Director
413,551,42,No,Research & Development,6,5,0,4,7,4,Female,No,3,2,2,Healthcare Representative
414,554,24,Yes,Sales,5,3,1,4,6,4,Female,Yes,3,3,1,Sales Representative
415,555,34,Yes,Sales,2,2,1,0,3,3,Female,No,3,1,1,Sales Representative
416,556,38,No,Research & Development,1,0,0,0,1,3,Male,Yes,4,3,1,Laboratory Technician
417,558,40,No,Sales,20,15,1,12,21,2,Female,No,3,3,5,Manager
418,560,26,No,Research & Development,3,2,0,2,3,3,Female,No,4,3,1,Research Scientist
419,562,30,No,Research & Development,5,3,1,4,9,3,Male,No,3,3,1,Laboratory Technician
420,564,29,No,Research & Development,10,2,0,7,10,2,Male,No,3,2,3,Research Director
421,565,29,Yes,Research & Development,2,2,1,1,6,2,Female,No,3,2,1,Research Scientist
422,566,19,Yes,Human Resources,1,0,0,0,1,3,Male,No,3,2,1,Human Resources
423,567,30,No,Sales,9,8,7,8,10,3,Female,No,3,3,3,Sales Executive
424,568,57,No,Sales,1,0,0,0,32,3,Male,No,3,2,4,Manager
425,569,50,No,Research & Development,27,10,15,7,28,2,Male,No,3,2,4,Manager
426,571,30,No,Research & Development,11,7,6,7,12,2,Female,No,3,3,1,Laboratory Technician
427,573,60,No,Sales,18,13,13,11,22,5,Female,No,3,2,3,Sales Executive
428,574,47,No,Research & Development,5,0,0,4,20,2,Female,No,3,3,2,Manufacturing Director
429,575,46,No,Research & Development,3,2,0,1,26,2,Male,No,3,3,4,Research Director
430,577,35,No,Research & Development,5,4,4,3,6,2,Male,No,3,1,1,Laboratory Technician
431,578,54,No,Research & Development,1,0,0,0,19,3,Female,No,3,3,2,Laboratory Technician
432,579,34,No,Research & Development,7,3,5,7,14,3,Male,No,3,2,1,Research Scientist
433,580,46,No,Sales,3,2,1,2,15,3,Female,Yes,3,2,3,Sales Executive
434,581,31,No,Research & Development,13,8,0,8,13,6,Male,No,4,3,3,Manufacturing Director
435,582,33,Yes,Research & Development,7,6,7,7,15,2,Male,Yes,3,3,3,Manager
436,584,33,Yes,Research & Development,4,3,1,3,8,2,Male,No,3,1,1,Laboratory Technician
437,585,30,No,Sales,3,2,1,2,4,3,Male,No,3,3,1,Sales Representative
438,586,35,No,Research & Development,8,7,0,0,10,2,Male,Yes,3,3,3,Healthcare Representative
439,587,31,Yes,Research & Development,1,0,0,0,12,2,Male,No,3,3,3,Healthcare Representative
440,590,34,Yes,Human Resources,3,2,0,2,11,2,Female,Yes,3,3,3,Human Resources
441,591,42,No,Research & Development,2,2,2,0,8,4,Male,No,3,3,1,Laboratory Technician
442,592,36,No,Sales,10,3,9,7,10,3,Male,No,3,3,3,Sales Executive
443,593,22,Yes,Research & Development,2,2,1,2,4,3,Male,No,3,2,1,Laboratory Technician
444,595,48,No,Sales,9,7,6,7,14,2,Female,No,3,3,2,Sales Executive
445,597,55,No,Sales,10,9,7,7,37,2,Female,No,4,3,4,Manager
446,599,41,No,Sales,14,3,1,10,16,3,Male,No,3,3,2,Sales Executive
447,600,35,No,Sales,11,9,6,9,15,2,Male,No,3,3,2,Sales Executive
448,601,40,No,Research & Development,20,6,5,13,22,3,Female,No,3,3,4,Manufacturing Director
449,602,39,No,Research & Development,8,3,0,7,8,3,Female,No,3,3,1,Laboratory Technician
450,604,31,No,Sales,6,5,0,5,10,2,Male,Yes,3,3,2,Sales Executive
451,605,42,No,Research & Development,10,9,5,8,10,5,Male,Yes,4,3,3,Manufacturing Director
452,606,45,No,Sales,8,7,3,7,9,3,Male,No,3,3,2,Sales Executive
453,608,26,Yes,Human Resources,7,7,1,0,8,2,Female,Yes,3,3,1,Human Resources
454,611,29,No,Research & Development,3,2,1,2,8,2,Male,No,3,3,2,Manufacturing Director
455,612,33,No,Research & Development,6,1,0,5,10,2,Female,No,3,4,4,Research Director
456,613,31,No,Sales,5,4,0,1,10,3,Male,No,4,2,3,Manager
457,614,18,Yes,Sales,0,0,0,0,0,3,Male,Yes,3,3,1,Sales Representative
458,615,40,No,Sales,1,0,0,1,20,2,Male,No,3,1,3,Sales Executive
459,616,41,No,Research & Development,8,7,0,7,10,3,Female,Yes,3,2,2,Healthcare Representative
460,618,26,No,Sales,0,0,0,0,8,5,Male,No,3,3,2,Sales Executive
461,620,35,No,Sales,5,4,0,3,5,3,Female,No,3,3,2,Sales Executive
462,621,34,No,Sales,10,7,5,7,10,3,Male,No,3,4,2,Sales Executive
463,622,26,Yes,Research & Development,1,0,0,0,1,3,Male,Yes,3,1,1,Laboratory Technician
464,623,37,No,Research & Development,6,5,1,2,12,3,Female,No,3,3,3,Manufacturing Director
465,624,46,No,Research & Development,2,2,1,2,28,3,Female,No,3,3,3,Healthcare Representative
466,625,41,No,Sales,18,16,11,8,22,2,Female,No,3,3,4,Manager
467,626,37,No,Sales,9,5,7,7,9,6,Male,No,3,3,3,Sales Executive
468,630,52,No,Research & Development,10,9,6,9,18,3,Male,Yes,3,3,2,Research Scientist
469,631,32,Yes,Sales,4,2,1,2,6,2,Male,No,3,4,2,Sales Executive
470,632,24,No,Sales,2,2,2,1,3,3,Male,No,3,3,1,Sales Representative
471,634,38,No,Research & Development,1,0,0,0,18,4,Female,No,3,3,2,Healthcare Representative
472,635,37,No,Research & Development,6,5,4,3,8,2,Female,No,3,3,2,Manufacturing Director
473,638,49,No,Research & Development,31,9,0,9,31,5,Male,Yes,3,2,5,Research Director
474,639,24,No,Research & Development,6,5,1,4,6,3,Male,Yes,3,4,1,Research Scientist
475,641,26,No,Sales,5,3,1,4,6,5,Male,No,4,3,2,Sales Executive
476,643,24,No,Research & Development,1,0,0,0,1,2,Male,No,4,2,1,Laboratory Technician
477,644,50,No,Human Resources,32,5,10,7,32,2,Male,No,3,3,5,Manager
478,645,25,No,Sales,7,4,0,6,7,1,Male,No,3,3,1,Sales Representative
479,647,24,Yes,Research & Development,6,3,1,2,6,4,Female,Yes,3,3,1,Laboratory Technician
480,648,30,Yes,Sales,1,0,0,0,1,2,Male,No,3,2,1,Sales Representative
481,649,34,No,Research & Development,6,5,1,3,6,3,Male,Yes,3,2,1,Research Scientist
482,650,31,Yes,Sales,3,1,1,2,9,2,Male,No,3,3,2,Sales Executive
483,652,35,No,Research & Development,3,2,0,2,9,3,Male,No,3,2,2,Laboratory Technician
484,653,31,No,Sales,7,7,5,7,13,4,Male,No,4,4,2,Sales Executive
485,655,27,No,Research & Development,5,3,0,3,6,5,Female,No,3,2,1,Research Scientist
486,656,37,No,Sales,3,0,1,0,17,3,Male,Yes,3,3,2,Sales Executive
487,657,20,No,Research & Development,1,0,0,0,1,0,Female,No,3,2,1,Research Scientist
488,659,42,No,Research & Development,10,2,2,2,10,4,Female,No,3,3,2,Healthcare Representative
489,661,43,No,Research & Development,1,0,0,0,21,3,Male,Yes,3,2,4,Research Director
490,662,38,No,Research & Development,0,0,0,0,8,3,Female,No,3,3,1,Research Scientist
491,663,43,No,Research & Development,8,7,4,7,10,3,Male,Yes,3,3,2,Laboratory Technician
492,664,48,No,Research & Development,3,2,0,2,21,3,Female,No,3,2,4,Manager
493,665,44,No,Human Resources,2,2,0,2,10,1,Female,No,3,2,2,Human Resources
494,666,34,No,Sales,8,2,0,6,8,3,Female,Yes,3,3,1,Sales Representative
495,667,27,Yes,Sales,4,3,0,2,5,3,Male,No,3,3,1,Sales Representative
496,669,21,No,Sales,3,2,1,2,3,2,Male,No,3,3,1,Sales Representative
497,671,44,No,Research & Development,2,2,0,1,26,2,Male,Yes,3,3,5,Manager
498,675,22,No,Research & Development,2,2,2,2,3,3,Male,No,4,3,1,Research Scientist
499,677,33,No,Sales,5,0,1,2,6,3,Male,No,3,3,2,Sales Executive
500,679,32,No,Research & Development,6,4,0,5,6,2,Female,Yes,3,3,2,Research Scientist
501,680,30,No,Research & Development,1,0,0,0,1,2,Female,No,4,3,1,Research Scientist
502,682,53,No,Sales,14,7,8,10,18,2,Female,No,4,3,2,Sales Executive
503,683,34,No,Research & Development,10,9,8,8,10,4,Male,No,3,3,1,Research Scientist
504,684,45,Yes,Sales,1,1,0,0,5,4,Female,No,3,3,2,Sales Executive
505,686,26,No,Research & Development,3,2,0,2,3,2,Female,Yes,3,3,1,Laboratory Technician
506,689,37,No,Research & Development,10,7,7,8,10,2,Male,No,3,3,3,Manufacturing Director
507,690,29,No,Sales,6,0,1,2,6,5,Female,No,3,3,2,Sales Executive
508,691,35,No,Research & Development,17,11,11,8,17,3,Male,No,3,1,2,Research Scientist
509,692,33,No,Research & Development,13,11,4,7,15,2,Male,No,4,3,2,Healthcare Representative
510,698,54,No,Human Resources,9,7,7,1,16,1,Male,No,3,3,3,Human Resources
511,699,36,No,Research & Development,3,2,0,2,13,2,Male,Yes,3,2,2,Manufacturing Director
512,700,27,No,Research & Development,4,2,1,1,5,0,Male,No,3,2,1,Research Scientist
513,701,20,Yes,Research & Development,1,0,1,1,1,5,Male,Yes,3,3,1,Research Scientist
514,702,33,Yes,Research & Development,10,8,9,7,10,3,Male,Yes,3,3,1,Research Scientist
515,704,35,No,Research & Development,1,0,0,0,1,3,Male,No,3,2,1,Laboratory Technician
516,705,23,No,Research & Development,3,2,0,2,5,3,Male,No,3,4,1,Research Scientist
517,707,25,No,Sales,3,2,1,2,4,4,Male,No,4,4,2,Sales Executive
518,709,38,No,Sales,7,7,0,5,8,2,Female,No,4,2,2,Sales Executive
519,710,29,No,Research & Development,10,7,2,8,10,5,Male,No,3,1,1,Research Scientist
520,712,48,No,Sales,2,2,2,2,12,3,Male,No,3,4,2,Sales Executive
521,714,27,No,Sales,6,5,0,4,6,3,Female,Yes,4,4,2,Sales Executive
522,715,37,No,Research & Development,1,0,0,0,4,2,Male,No,3,4,1,Research Scientist
523,716,50,No,Research & Development,20,8,3,8,20,3,Male,Yes,3,4,1,Laboratory Technician
524,717,34,No,Research & Development,8,7,7,7,9,3,Female,No,3,2,3,Healthcare Representative
525,720,24,Yes,Sales,2,2,2,0,4,3,Female,No,3,3,2,Sales Executive
526,721,39,No,Research & Development,20,7,11,10,20,4,Female,No,3,2,2,Healthcare Representative
527,722,32,No,Sales,10,7,0,8,10,2,Male,No,3,3,2,Sales Executive
528,723,50,Yes,Sales,4,3,1,3,18,4,Male,Yes,3,3,2,Sales Executive
529,724,38,No,Research & Development,9,7,1,8,10,4,Female,No,3,4,2,Healthcare Representative
530,725,27,No,Research & Development,9,7,0,7,9,3,Female,No,3,3,3,Manufacturing Director
531,727,32,No,Research & Development,7,7,7,7,10,6,Female,No,3,3,3,Research Director
532,728,47,No,Sales,7,7,1,7,20,2,Male,No,3,3,2,Sales Executive
533,729,40,No,Sales,18,13,1,12,20,2,Male,Yes,4,2,3,Sales Executive
534,730,53,No,Research & Development,5,1,1,3,32,3,Male,No,3,4,4,Research Director
535,731,41,No,Human Resources,21,6,12,6,23,2,Male,No,3,2,5,Manager
536,732,60,No,Sales,2,2,2,2,10,1,Male,No,3,3,2,Sales Executive
537,733,27,No,Research & Development,9,7,1,7,9,4,Male,No,4,3,3,Manufacturing Director
538,734,41,No,Human Resources,22,7,2,10,22,3,Male,No,3,2,5,Manager
539,738,50,No,Sales,2,2,2,2,4,2,Male,No,3,3,1,Sales Representative
540,741,28,Yes,Research & Development,7,7,3,7,10,4,Female,Yes,3,1,1,Research Scientist
541,742,36,No,Research & Development,8,7,0,5,10,2,Female,No,3,4,3,Research Director
542,743,38,No,Research & Development,1,0,0,0,10,4,Female,Yes,3,3,3,Manufacturing Director
543,744,44,No,Research & Development,5,2,1,4,9,5,Male,No,3,1,1,Laboratory Technician
544,746,47,No,Sales,22,2,11,13,28,2,Female,Yes,3,3,4,Sales Executive
545,747,30,No,Sales,8,7,7,7,10,2,Male,No,4,3,2,Sales Executive
546,749,29,No,Sales,1,0,0,0,1,6,Male,No,3,3,1,Sales Representative
547,752,42,Yes,Research & Development,2,2,2,2,7,2,Male,Yes,3,4,1,Research Scientist
548,754,43,No,Sales,2,2,2,2,7,5,Male,No,3,2,2,Sales Executive
549,757,34,No,Research & Development,5,1,4,3,10,2,Female,No,3,3,2,Healthcare Representative
550,758,23,No,Research & Development,4,3,0,2,5,2,Male,No,3,3,1,Laboratory Technician
551,760,39,No,Human Resources,8,3,3,6,12,3,Female,No,3,4,2,Human Resources
552,762,56,No,Research & Development,10,7,1,1,30,1,Male,No,3,3,4,Healthcare Representative
553,763,40,No,Research & Development,4,2,2,3,5,2,Female,Yes,4,2,1,Research Scientist
554,764,27,No,Research & Development,7,6,0,7,9,2,Female,No,3,2,2,Healthcare Representative
555,766,29,No,Sales,2,2,2,2,2,2,Male,No,3,3,1,Sales Representative
556,769,53,No,Research & Development,2,2,2,2,19,4,Male,No,3,3,2,Laboratory Technician
557,771,35,No,Research & Development,1,0,0,0,16,2,Female,No,3,3,2,Healthcare Representative
558,772,32,No,Research & Development,10,8,4,7,10,2,Male,No,3,3,2,Laboratory Technician
559,773,38,No,Research & Development,1,0,0,1,6,0,Male,Yes,3,3,1,Research Scientist
560,775,34,No,Research & Development,0,0,0,0,7,3,Female,No,3,3,2,Manufacturing Director
561,776,52,No,Sales,34,6,1,16,34,3,Male,No,3,2,4,Manager
562,780,33,Yes,Research & Development,10,9,7,8,10,2,Male,Yes,3,3,1,Research Scientist
563,781,25,No,Sales,6,5,1,4,6,5,Female,No,4,3,2,Sales Executive
564,783,45,No,Sales,8,7,3,1,9,3,Male,No,3,1,2,Sales Representative
565,784,23,No,Research & Development,2,2,0,2,2,3,Male,No,3,4,1,Research Scientist
566,785,47,Yes,Sales,5,4,1,3,8,2,Female,Yes,3,4,2,Sales Executive
567,786,34,No,Sales,6,5,1,4,6,5,Male,No,4,3,2,Sales Executive
568,787,55,Yes,Research & Development,5,2,1,4,24,2,Male,Yes,3,3,5,Manager
569,789,36,No,Sales,10,7,0,9,10,1,Male,No,3,2,3,Sales Executive
570,791,52,No,Research & Development,4,3,1,2,5,3,Male,No,3,3,1,Research Scientist
571,792,26,No,Research & Development,2,2,2,0,5,2,Female,No,3,1,1,Laboratory Technician
572,793,29,No,Research & Development,8,7,1,1,11,3,Female,No,3,3,2,Healthcare Representative
573,796,26,Yes,Sales,4,3,1,2,6,2,Male,No,3,2,2,Sales Executive
574,797,34,No,Research & Development,4,2,1,3,10,2,Female,No,3,4,1,Research Scientist
575,799,54,No,Research & Development,5,3,1,4,9,4,Female,Yes,3,3,2,Manufacturing Director
576,800,27,No,Sales,4,2,1,1,5,3,Male,No,3,3,2,Sales Executive
577,802,37,No,Research & Development,5,3,4,3,6,3,Female,Yes,3,3,1,Research Scientist
578,803,38,No,Research & Development,15,7,4,12,17,2,Female,Yes,3,4,2,Manufacturing Director
579,804,34,No,Research & Development,6,5,1,3,6,3,Female,No,3,2,1,Research Scientist
580,805,35,No,Sales,3,2,0,2,3,1,Female,No,3,3,1,Sales Representative
581,806,30,No,Research & Development,2,2,0,2,7,2,Male,No,4,1,1,Laboratory Technician
582,807,40,No,Research & Development,8,7,3,7,8,2,Female,No,4,4,2,Healthcare Representative
583,808,34,No,Sales,3,2,1,2,6,1,Female,No,3,3,2,Sales Executive
584,809,42,No,Research & Development,24,7,14,9,24,4,Male,No,3,3,5,Manager
585,811,23,Yes,Research & Development,0,0,0,0,1,2,Male,Yes,4,4,1,Laboratory Technician
586,812,24,No,Research & Development,1,0,0,0,1,4,Male,No,3,2,1,Laboratory Technician
587,813,52,No,Research & Development,5,2,1,4,9,3,Female,No,4,3,2,Laboratory Technician
588,815,50,No,Research & Development,4,3,0,3,30,3,Male,No,3,3,4,Research Director
589,816,29,Yes,Research & Development,1,0,0,0,1,1,Female,Yes,3,2,1,Laboratory Technician
590,817,33,No,Research & Development,13,9,3,7,14,3,Male,No,3,3,3,Research Director
591,819,33,Yes,Sales,3,2,0,2,6,3,Female,No,3,3,2,Sales Executive
592,820,47,No,Research & Development,26,14,3,0,26,3,Female,Yes,3,3,4,Manager
593,823,36,No,Research & Development,9,7,0,5,10,2,Female,No,3,3,2,Manufacturing Director
594,824,29,No,Research & Development,10,7,0,7,10,3,Male,No,4,4,1,Research Scientist
595,825,58,Yes,Research & Development,31,15,13,8,40,2,Male,Yes,3,3,5,Research Director
596,826,35,No,Research & Development,2,2,2,2,7,0,Female,No,3,4,1,Research Scientist
597,827,42,No,Research & Development,4,3,0,2,8,4,Female,Yes,3,2,2,Manufacturing Director
598,828,28,Yes,Research & Development,2,2,2,1,5,3,Male,No,3,3,1,Research Scientist
599,829,36,No,Human Resources,5,2,0,4,8,2,Male,No,3,3,1,Human Resources
600,830,32,No,Research & Development,14,13,6,8,14,3,Female,No,3,2,2,Manufacturing Director
601,832,40,No,Research & Development,1,0,0,0,10,6,Male,No,3,2,2,Laboratory Technician
602,833,30,No,Research & Development,0,0,0,0,12,4,Female,Yes,4,2,2,Manufacturing Director
603,834,45,No,Research & Development,1,0,0,0,1,3,Female,No,3,2,1,Research Scientist
604,836,42,No,Research & Development,9,8,7,8,10,3,Male,No,3,3,2,Manufacturing Director
605,837,38,No,Research & Development,4,3,1,2,13,3,Male,No,3,2,2,Healthcare Representative
606,838,34,No,Research & Development,5,2,1,3,6,3,Female,No,3,2,1,Research Scientist
607,840,49,Yes,Sales,9,8,7,7,9,3,Female,No,3,3,3,Sales Executive
608,842,55,Yes,Sales,9,7,7,3,12,3,Male,No,3,3,2,Sales Executive
609,843,43,No,Research & Development,4,1,1,0,22,3,Male,No,4,3,4,Research Director
610,844,27,No,Research & Development,9,8,0,8,9,3,Male,Yes,3,2,3,Research Director
611,845,35,No,Research & Development,8,5,1,6,17,3,Male,No,4,3,3,Manufacturing Director
612,846,28,No,Sales,8,7,7,5,8,2,Female,Yes,4,3,2,Sales Executive
613,847,34,No,Human Resources,3,2,0,2,4,1,Male,No,3,3,1,Human Resources
614,848,26,Yes,Research & Development,8,7,1,7,8,2,Female,Yes,3,2,1,Research Scientist
615,850,27,No,Research & Development,0,0,0,0,0,6,Male,No,3,3,1,Research Scientist
616,851,51,No,Sales,20,6,4,17,29,2,Female,No,3,3,4,Manager
617,852,44,No,Research & Development,5,2,2,3,10,2,Male,No,3,3,2,Healthcare Representative
618,854,25,No,Research & Development,4,3,0,1,6,3,Male,No,3,4,1,Research Scientist
